owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
linexjlin,GPTs,31978,2023-11-11T03:24:16Z,2026-03-13T13:31:13Z,,45,0,31,21
hasura,graphql-engine,31921,2018-06-18T07:57:36Z,2026-03-13T16:26:37Z,TypeScript,2110,300,6410,4165
patchy631,ai-engineering-hub,31916,2024-10-21T10:43:24Z,2026-03-13T18:01:50Z,Jupyter Notebook,63,0,43,14
dokku,dokku,31912,2013-06-08T10:26:57Z,2026-03-13T11:23:34Z,Shell,4540,319,2844,2819
valinet,ExplorerPatcher,31842,2021-08-09T14:17:24Z,2026-03-13T17:39:40Z,C,20,296,2663,2359
Trinea,android-open-project,31841,2014-01-05T15:20:15Z,2026-03-13T01:12:41Z,,204,0,87,75
continuedev,continue,31826,2023-05-24T03:39:39Z,2026-03-13T17:48:55Z,TypeScript,3936,803,5778,4539
niklasvh,html2canvas,31820,2011-07-16T01:05:58Z,2026-03-13T10:34:30Z,TypeScript,186,45,2634,1664
kovidgoyal,kitty,31792,2016-10-16T14:48:28Z,2026-03-13T17:37:32Z,Python,1250,133,6686,6679
Chanzhaoyu,chatgpt-web,31792,2023-02-09T03:21:37Z,2026-03-13T11:34:40Z,Vue,159,43,1746,1746
microsoft,MS-DOS,31764,2018-06-25T18:26:02Z,2026-03-13T17:02:18Z,Assembly,37,0,0,0
vbenjs,vue-vben-admin,31760,2020-07-11T02:29:21Z,2026-03-13T15:59:08Z,Vue,1753,61,3921,3826
airbnb,lottie-web,31749,2015-02-20T21:02:59Z,2026-03-13T09:06:57Z,JavaScript,136,0,2910,2128
amix,vimrc,31727,2012-05-29T16:19:29Z,2026-03-13T05:20:55Z,Vim Script,107,0,523,510
MHSanaei,3x-ui,31726,2023-02-09T19:16:57Z,2026-03-13T17:30:22Z,HTML,642,102,2705,2281
ReactiveX,rxjs,31655,2015-03-15T06:17:10Z,2026-03-12T20:33:57Z,TypeScript,2588,2,3165,2942
facebook,rocksdb,31625,2012-11-30T06:16:18Z,2026-03-13T12:21:14Z,C++,620,212,3503,2650
Dokploy,dokploy,31616,2024-04-19T07:49:30Z,2026-03-13T17:35:55Z,TypeScript,1354,150,1698,1293
OpenBMB,ChatDev,31609,2023-08-28T02:18:13Z,2026-03-13T17:15:38Z,Python,139,11,307,274
